"","Date","Total","Anger","Trust"
"44",2020-04-13,846,0.0390070921985816,0.0508274231678487
"45",2020-04-14,1375,0.0436363636363636,0.0596363636363636
"46",2020-04-15,1122,0.0401069518716578,0.0552584670231729
"47",2020-04-16,1079,0.0315106580166821,0.0667284522706209
"48",2020-04-17,1204,0.0365448504983389,0.0514950166112957
"49",2020-04-18,842,0.0451306413301663,0.0748218527315914
"50",2020-04-19,788,0.0444162436548223,0.0634517766497462
"51",2020-04-20,1074,0.0363128491620112,0.0558659217877095
"52",2020-04-21,1120,0.0526785714285714,0.0616071428571429
"53",2020-04-22,1018,0.0333988212180747,0.0491159135559921
"54",2020-04-23,975,0.0502564102564103,0.0533333333333333
"55",2020-04-24,997,0.0431293881644935,0.0591775325977934
"56",2020-04-25,726,0.0371900826446281,0.0730027548209366
"57",2020-04-26,657,0.060882800608828,0.0502283105022831
"58",2020-04-27,859,0.0325960419091967,0.0523864959254948
"59",2020-04-28,944,0.0476694915254237,0.0519067796610169
"60",2020-04-29,917,0.0338058887677208,0.0556161395856052
"61",2020-04-30,869,0.0241657077100115,0.0563866513233602
"62",2020-05-01,816,0.0392156862745098,0.0514705882352941
"63",2020-05-02,515,0.0427184466019417,0.0427184466019417
"64",2020-05-03,566,0.0300353356890459,0.0459363957597173
"65",2020-05-04,687,0.0334788937409025,0.0480349344978166
"66",2020-05-05,690,0.0260869565217391,0.0507246376811594
"67",2020-05-06,881,0.0374574347332577,0.0488081725312145
"68",2020-05-07,1065,0.0300469483568075,0.0553990610328638
"69",2020-05-08,693,0.0461760461760462,0.0577200577200577
"70",2020-05-09,518,0.0501930501930502,0.0579150579150579
"71",2020-05-10,566,0.049469964664311,0.0441696113074205
"72",2020-05-11,715,0.0307692307692308,0.0447552447552448
"73",2020-05-12,1009,0.0327056491575818,0.0584737363726462
"74",2020-05-13,724,0.0248618784530387,0.0469613259668508
"75",2020-05-14,949,0.0368809272918862,0.0611169652265543
"76",2020-05-15,725,0.0220689655172414,0.056551724137931
"77",2020-05-16,419,0.035799522673031,0.0620525059665871
"78",2020-05-17,372,0.032258064516129,0.0537634408602151
"79",2020-05-18,649,0.0477657935285054,0.0647149460708783
"80",2020-05-19,602,0.0498338870431894,0.0548172757475083
"81",2020-05-20,738,0.043360433604336,0.0542005420054201
"82",2020-05-21,516,0.0387596899224806,0.0503875968992248
"83",2020-05-22,528,0.0265151515151515,0.0511363636363636
"84",2020-05-23,402,0.0472636815920398,0.0447761194029851
"85",2020-05-24,364,0.0384615384615385,0.0549450549450549
"86",2020-05-25,494,0.0323886639676113,0.0809716599190283
"87",2020-05-26,565,0.0230088495575221,0.0619469026548673
"88",2020-05-27,519,0.0269749518304432,0.0770712909441233
"89",2020-05-28,521,0.0230326295585413,0.0518234165067179
"90",2020-05-29,747,0.0468540829986613,0.0548862115127175
"91",2020-05-30,430,0.0488372093023256,0.0558139534883721
"92",2020-05-31,338,0.0562130177514793,0.0384615384615385
"93",2020-06-01,336,0.0505952380952381,0.0505952380952381
"94",2020-06-02,404,0.0495049504950495,0.0495049504950495
"95",2020-06-03,392,0.038265306122449,0.0612244897959184
"96",2020-06-04,435,0.00919540229885057,0.0459770114942529
"97",2020-06-05,402,0.0248756218905473,0.054726368159204
"98",2020-06-06,291,0.0274914089347079,0.0515463917525773
"99",2020-06-07,538,0.0315985130111524,0.0799256505576208
"100",2020-06-08,637,0.0313971742543171,0.0722135007849294
"101",2020-06-09,509,0.0412573673870334,0.0726915520628684
"102",2020-06-10,410,0.0268292682926829,0.0853658536585366
"103",2020-06-11,400,0.04,0.06
